animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
431753,114-H057D,13,89,雲林縣流浪動物收容所,狗,混種犬          ,M,BIG,黑色,ADULT,T,F,二崙鄉崙西村,,OPEN,,,2025-11-26,2999-12-31,2025-11-26,2025-11-10,雲林縣流浪動物收容所,https://www.pet.gov.tw/upload/pic/1763630052494.png,,2025-11-26,雲林縣斗六市雲林路二段517號,(05)5523300
432486,QAAAG1141126002,4,48,基隆市寵物銀行,狗,貴賓犬        ,M,SMALL,黑色,ADULT,T,F,,,OPEN,會互食咬人,,2025-11-26,2999-12-31,2025-11-26,2025-11-26,基隆市寵物銀行,https://www.pet.gov.tw/upload/pic/1764145549849.png,,2025-11-26,基隆市七堵區大華三路45-12號(欣欣安樂園旁),(02)24560148
432485,DAAAG1141125003,7,63,新竹縣動物保護教育園區,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,,,OPEN,身上多處外傷治療中,,2025-11-25,2999-12-31,2025-11-26,2025-11-25,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1764145435355.png,,2025-11-26,新竹縣竹北市縣政五街192號,(03)5519548
430742,OAAAG1141114001,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,M,MEDIUM,黑色,ADULT,T,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-14,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1763098608204.png,,2025-11-26,花蓮縣鳳林鎮林榮里永豐路255號,(03)8421452
432414,PAAAG1141125C53,21,83,澎湖縣流浪動物收容中心,貓,混種貓                 ,M,SMALL,黃色,CHILD,F,F,2之6號,,OPEN,,,2025-12-12,2999-12-31,2025-11-26,2025-11-25,澎湖縣流浪動物收容中心,https://www.pet.gov.tw/upload/pic/1764138176173.png,,2025-11-26,澎湖縣馬公市烏崁里260、261號,(06)9213559
432413,PAAAG1141125C52,21,83,澎湖縣流浪動物收容中心,貓,混種貓                 ,F,SMALL,虎斑色,CHILD,F,F,2之6號,,OPEN,,,2025-12-12,2999-12-31,2025-11-26,2025-11-25,澎湖縣流浪動物收容中心,https://www.pet.gov.tw/upload/pic/1764138155703.png,,2025-11-26,澎湖縣馬公市烏崁里260、261號,(06)9213559
391642,CAAAG1140123002,6,61,桃園市動物保護教育園區,貓,混種貓                 ,F,MEDIUM,,ADULT,N,F,仁德里崁頂路１４２１巷,,OPEN,,,2025-03-06,2999-12-31,2025-11-26,2025-01-23,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1737612515635.png,,2025-11-26,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
395898,CAAAG1140302003,6,61,桃園市動物保護教育園區,貓,混種貓                 ,F,MEDIUM,黑虎斑色,ADULT,N,F,新富二街,,OPEN,,,2025-08-14,2999-12-31,2025-11-26,2025-03-02,桃園市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1740901846536.png,,2025-11-26,桃園市新屋區永興里3鄰藻礁路1668號,(03)4861760
432474,AAADG1141126003,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,F,SMALL,三花色,CHILD,F,F,三峽區大埔路33巷7號,,OPEN,,,2025-11-26,2999-12-31,,2025-11-26,新北市板橋區公立動物之家,,,,新北市板橋區板城路28-1號,(02)89662158
432472,AAADG1141126002,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,F,SMALL,三花色,CHILD,F,F,三峽區大埔路33巷7號,,OPEN,,,2025-11-26,2999-12-31,,2025-11-26,新北市板橋區公立動物之家,,,,新北市板橋區板城路28-1號,(02)89662158
432471,AAADG1141126001,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,F,SMALL,三花色,CHILD,F,F,三峽區大埔路33巷7號,,OPEN,,,2025-11-26,2999-12-31,,2025-11-26,新北市板橋區公立動物之家,,,,新北市板橋區板城路28-1號,(02)89662158
426839,OAAAG1141022003,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,F,MEDIUM,黑棕色,ADULT,T,F,,,OPEN,認養動物需現場互動評估，欲認養請先來電預約，恕不作保留。,,2025-11-14,2999-12-31,2025-11-26,2025-10-22,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1761100880026.png,,2025-11-26,花蓮縣鳳林鎮林榮里永豐路255號,(03)8421452
432466,RAAAG1141126001,8,62,新竹市動物保護教育園區,貓,混種貓                 ,F,MEDIUM,,ADULT,T,F,西濱路一段189巷,,OPEN,隔離舍,,,2999-12-31,2025-11-26,2025-11-26,新竹市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1764143454714.png,,2025-11-26,新竹市南寮里海濱路250號,(03)5368329
432465,1142035,5,78,宜蘭縣流浪動物中途之家,貓,混種貓                 ,N,BIG,,ADULT,N,F,光復路,,OPEN,,,2025-11-26,2999-12-31,2025-11-26,2025-11-26,宜蘭縣流浪動物中途之家,https://www.pet.gov.tw/upload/pic/1764143276052.png,,2025-11-26,宜蘭縣五結鄉成興村利寶路60號,(03)9602350620
432454,AAADG2025112604,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,M,SMALL,虎斑白色,CHILD,F,F,中洲街30巷14號,,OPEN,乖乖的.可摸摸,,2025-11-26,2999-12-31,2025-11-26,2025-11-26,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1764142069565.png,,2025-11-26,新北市板橋區板城路28-1號,(02)89662158
432451,S141126-W,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432449,S141126-V,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黃色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432448,S141126-U,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432447,S141126-T,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432444,AAADG1141126001,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,F,SMALL,虎斑色,CHILD,F,F,樹林區光興街81巷24號,,OPEN,可摸摸.乖乖的,,2025-11-26,2999-12-31,2025-11-26,2025-11-26,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1764141020812.png,,2025-11-26,新北市板橋區板城路28-1號,(02)89662158
432446,S141126-S,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
